"";"CF";"FBK";"XN"
"A";35686,1648263943;7087,47138834375;540,80068761573
"B";618,910460436886;3578,91676616202;55415,4431096669
"C01";76807,0096060123;535,327952450798;489,142846045277
"C02";24835,7563628588;473,436574147692;-9072,62165191758
"C03";7070,48597532165;-10,0372986462535;-2721,70936662206
"C04";38657,3450982629;2196,42664135771;-28979,4161892643
"C05";19741,0341911855;42237,1202751916;-60378,7246353952
"C06";6529,54838562205;4880,25391546088;-4444,89146600659
"D";21029,9433618688;22,2394978640558;-181,028821831368
"E";11903,3220452113;40,5423573846131;548,418472154442
"F01";525,93905341823;71365,7378272;-270,537145157742
"F02";0;57393,5770205285;0
"F03";1431,26331462605;2145,9798419425;16,4723399381514
"G";85384,6096917406;15454,6702711423;-1030,60536282004
"H";7605,02326322203;0,192115739164132;3789,48359374925
"H1";22869,0272484582;189,501214897416;-6,31320595611463
"I1";4938,95424061798;45,8510233764704;721,156725407976
"I2";65570,8615355613;448,332613478664;1568,88919765403
"J";22814,5329558469;1231,23288752582;-1603,28035050126
"K";37879,0286955169;67,725066949699;-7468,73152232592
"L";77692,4005383133;1035,82347138861;4,95820940274852
"M + N";4598,39980081323;5037,87323405012;-3466,73960941554
"O";109500,154229477;161,360027868306;-27,8416054148439
"P";66388,3947698989;101,112488849781;-136,617507984722
"Q";60900,7684532912;10,0196212890664;160,097567142302
"R + S";23594,1218960235;2186,31320405682;1,19569183646604
"T";6554;0;1
"28";5523;0;-5523
